prompt,completion
Given chess position: rnb2b2/p2pk2r/1qp2ppn/4p3/P3PP1p/1PPP2P1/R2N3P/2BK1BNR b - - 1 15. What special moves are available? Answer:,none
Given chess position: rn1q1bnr/p2p4/Bp1k1pp1/2p1p1Pp/2b4P/3P4/PPP1PP2/R1BQ1KNR b - - 2 12. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r3kbn1/1bpqpr2/p5p1/np1N1p1p/1P4PN/P3P2B/2PPKP1P/R1BQ3R w q - 1 14. Is the move c2c4 legal? Answer:,legal
Given chess position: 1rbqkbnr/pp2ppp1/2p4p/Pn1p4/5P2/5NPB/1PPPP2P/RNBQ1RK1 w k - 1 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bqk2r/pp1pp1b1/7p/2p2pp1/P2n2n1/NP6/2PKPPPP/R1BQ1BNR b kq - 1 10. What special moves are available? Answer:,castling
Given chess position: r1b1k2r/p1pq1pb1/1pnpp1p1/5B1p/5PnP/1PN1P2N/P1PP3R/R1B1QK2 w kq - 0 15. Is the move h2g2 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r3k1nr/p2q1ppp/np2p3/P2p4/1bpP1PP1/R1N1K3/2b1P1BP/2BQ2NR w kq - 0 12. Is the move h2h4 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2b2bnr/p1ppk1p1/nr2pp1p/1p4N1/1P4P1/q2P3B/P1P1PP1P/1RBQ1K1R w - - 3 12. What special moves are available? Answer:,none
Given chess position: rn1qkbr1/4p1p1/pp2bn1p/1N1p1pN1/1p1P2PP/2P5/P1Q1PP2/R1BK1B1R b q - 1 13. What special moves are available? Answer:,castling
Given chess position: 2bqkbn1/rpppp1p1/p1n4r/5p2/4PP1p/5N1P/PPPP1KPR/RNB1QB2 w - - 0 8. What special moves are available? Answer:,en passant
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1qkbn1/p2b2pr/1p2p3/2pp1p1p/P1BPPN2/5P1P/1PP3P1/RNBQK1R1 w Qq - 0 10. What special moves are available? Answer:,castling
Given chess position: rnbq2n1/ppppkp1r/7p/4p1p1/7P/1RQ5/PPP1PPP1/RNB1KBN1 b Q - 1 12. What special moves are available? Answer:,castling
Given chess position: 1nbq2nr/1pppk3/7p/1rN1ppp1/pPP5/N1B2P2/P2PP1PP/R2QKB1R w KQ - 2 14. Is the move a1c1 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2kr1b1r/1b1q1p2/n1ppp1p1/1p1n3p/p3PP2/2PP1NPP/PP1B4/RN1QKB1R b - - 0 15. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r3k1nr/pp1bbp1p/nq2p1p1/2p5/PP1p4/B1NP2QP/2P1PPP1/R3KBNR w KQkq - 3 11. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbq1bnr/p2k2p1/1p1p4/2p1pp1p/2P1P2P/N4Q1N/PP1P1PP1/R1B1KBR1 b Q - 1 9. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn4nr/3bbkp1/pqp1p2p/1p1p2P1/1P3N2/P1N5/2PPPP1P/1RBQKB1R b K - 3 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbqk1nr/ppppb3/B3pp2/5Qp1/3PP2p/7P/PPP1KPP1/RNB3NR b kq - 0 7. What special moves are available? Answer:,"castling, en passant"
Given chess position: 1rb1kbnr/p3ppp1/n7/2pq1P1P/4B1N1/p7/1PPP3P/RNBQK2R w KQk - 1 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1b1kb1r/3ppppp/3q3n/ppp5/QnP1P1PP/P6N/1P1P1P2/RNB1KB1R b KQkq - 0 9. Is the move d6g3 legal? Answer:,legal
Given chess position: r1bqk2r/pppp2p1/1n3n2/4p1Np/1PPbp2P/N3K2R/P4PP1/R1BQ1B2 w kq - 0 14. What special moves are available? Answer:,castling
Given chess position: rn1qnb1r/p4ppp/1ppp1k2/4pb2/1PK4P/N2P2P1/P1PBPPB1/R1Q3NR w - - 7 13. What special moves are available? Answer:,none
Given chess position: rnbq1bnr/1p2k1pp/p1p2p2/3pp3/2P1P1Q1/N2P4/PP3PPP/R1B1KBNR w KQ - 0 7. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2q1kb1r/r1pn2pp/3ppp1n/pp6/3P1PbP/4P1N1/PPPNQ1P1/1RB1KB1R b Kk - 3 14. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbq3r/ppppnkbp/4ppp1/8/5P2/PP2P1P1/2PP3P/RNBQKBNR b - - 2 7. Is the move e7g8 legal? Answer:,legal
Given chess position: 1nbqkbnr/r1pp1ppp/pp2p3/8/1P1P1P2/8/P1P1PKPP/RNBQ1BNR w k - 2 7. Is the move f2e1 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2bqk2r/1rp2ppp/n2b3n/1p1pp1N1/pP3P2/P2R1N1P/2PPPKPR/2BQ1B2 w k - 6 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bq1kn1/1ppB3r/p5p1/b2Ppp2/5P2/1nNQP3/PPP3PP/R1B2K1R w - - 1 15. What special moves are available? Answer:,none
Given chess position: r1b1k1r1/1ppp3p/p1n3p1/5pq1/3n2P1/P2PPP1B/1b1Q1K1P/RNB1R3 w q - 0 16. What special moves are available? Answer:,"castling, en passant"
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2b1kb2/1p1p1pp1/r1n4r/QPp1p2p/3BP1nN/2P4B/P4P1P/RN2K2R w KQ - 4 16. Is the move b1d2 legal? Answer:,legal
Given chess position: rnb1k1nr/p1pp2pp/8/1p2ppq1/1bP2P2/N3PN2/PP1P2PP/R1BQKB1R w KQkq - 0 6. What special moves are available? Answer:,"castling, en passant"
Given chess position: rn2kb2/pp2n1pr/1q1p1p1B/2pPp3/1P2P3/N2B1N1b/P1P2PPP/R2QK2R b KQq - 0 10. What special moves are available? Answer:,castling
Given chess position: r1bqkbr1/pppp1p2/2n2np1/2B1p2p/PQ5P/3P4/1PP1PPP1/RN2KBNR b KQq - 1 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1rbq1b1r/pppppkpp/5p1n/n2P4/P6P/1PP5/2Q1PPP1/RNBK1BNR b - - 0 9. What special moves are available? Answer:,none
Given chess position: r1bq1knr/ppp2p1p/n4Pp1/3p4/3b2P1/1NP1pK2/PP1QP2P/1RB2BNR w - - 0 15. What special moves are available? Answer:,none
Given chess position: rnb1kb1r/pp1pp1pp/7n/P2p1p2/7P/5N1q/1PPNPPP1/R1BQKBR1 w Qkq - 2 9. What special moves are available? Answer:,castling
Given chess position: rnbqkbnr/p1p1p3/1p1p2p1/5P1p/P2P1P2/1P5P/2P1P3/RNBQKBNR b KQkq - 0 7. What special moves are available? Answer:,"castling, en passant"
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb2bnr/pp1ppk1p/5p2/3q3P/P1PQ4/5PB1/1PP1P1P1/R3KBNR b KQ - 3 12. What special moves are available? Answer:,castling
Given chess position: rnbqkbnr/p1p1pp1p/8/1p1p2pP/2P5/1P4P1/PB1PPP2/RN1QKBNR b KQkq - 0 8. What special moves are available? Answer:,castling
Given chess position: rn2kb1r/ppp1p2p/5ppn/8/2B1pP2/PbP4Q/1P1P2PP/RNB1K1NR b KQkq - 1 11. What special moves are available? Answer:,castling
Given chess position: rnbk2n1/pp1p1pp1/2B4r/P1b1p3/3P2Pp/q1PQP1RN/1P3P1P/RNB1K3 w Q - 1 14. What special moves are available? Answer:,castling
Given chess position: rn2k1nr/p1p2p2/b3pqp1/1p1p3p/P2b3P/1P1PB1PN/2P1PP2/RNQ1KBR1 w Qkq - 4 12. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1nb2bnr/1p1pkppp/2q5/1pp1P3/r3P3/1P4P1/P1P1NP1P/R1BQKB1R w KQ - 1 9. Is the move a1h8 legal? Answer:,illegal
Given chess position: rn2kb1r/pp2pp1p/2p1qn1p/3p1P1Q/3P4/P4PPN/NPP2K1P/3R1R2 b kq - 4 15. Is the move h8g8 legal? Answer:,legal
Given chess position: rnbq1b1r/2p1k2p/3p1ppn/pp6/3PP1P1/P4p2/1PP4P/RNBQKBNR w KQ - 0 11. What special moves are available? Answer:,"castling, en passant"
Given chess position: 1rbq1bnr/pppppk2/2n2p1p/6p1/6N1/P1P2N2/1P1PPPPP/R1BQKB1R b KQ - 1 7. Is the move h8h7 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb4r/2pk3p/pP2pnp1/3p4/Pbq5/1Q3P1N/1P1PP1BP/RNB1K2R w KQ - 1 13. Is the move b3e3 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2bq1br1/1pk2ppp/r1n4n/p2Pp1P1/NPp5/5P1B/P1PP1Q1P/R1B1K1NR b KQ b3 0 12. Is the move h6f5 legal? Answer:,legal
Given chess position: rnbqkb1r/2pp1pp1/pp2pn2/1N5p/7P/4RN2/PPPPPPP1/R1BQKB2 b Qkq - 1 6. What special moves are available? Answer:,castling
Given chess position: 2b2b1r/2rqpkpp/np1p1p2/p1p3P1/3PP2P/5N2/PPP2P2/RNB1QRK1 b - - 0 15. What special moves are available? Answer:,en passant
Given chess position: r1b1kbnr/1p1p3p/1q5P/p1p1pp2/6p1/N1PP4/2PKPPP1/R1B1QBNR w kq - 4 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1n2kbr1/2p1p1pp/Q3b3/pp1q1p2/3P1Pn1/3P1N2/PP2P1PP/RNB1KB1R w - - 2 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbqkb1r/2pppn1p/pp3pp1/8/P1P5/N3KP2/RP1PP1PP/2BQ1BNR b kq - 1 7. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbqkb1r/1pp1pp2/p2p1n2/6pp/5P2/N3P3/PPPPBQPP/R1B1K1NR b KQ - 0 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2rq1bnr/1pp1pk1p/n4p2/pNBp2p1/P7/3P2Pb/RPP1PP2/3QKBNR w K - 2 10. Is the move d1b1 legal? Answer:,legal
Given chess position: r2qk1nr/ppp2p1p/1nbP4/4p1p1/Q7/R7/1P1PPPPP/1NB1KBNR b Kkq - 1 9. What special moves are available? Answer:,castling
Given chess position: r1bqkbn1/ppppp1p1/n2r4/1P1B3p/P2P4/5N2/2P1PP1P/R1BQK1NR w KQq - 3 10. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqkbn1/p2pp2r/np3p1p/2p3p1/2P2PPP/3P4/PP1BP1B1/RN1QK1NR b KQq - 2 8. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn1qkb2/1b1pn3/pppp1ppr/7p/PPP2P2/8/1B1PP1PP/R2QKBNR w KQq - 3 12. Is the move e2e4 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1b2bkr/p2pp2p/5np1/1p6/1PPP1B1P/q7/P3PPP1/1R2KBNR w K - 0 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1nbqkbnr/r1pppppp/p7/6B1/1p6/P2P1N1P/1PP1PPP1/RN1QKB1R w KQk - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqkb1r/ppp1pp1p/2n4n/3p2p1/3P2P1/NPP4N/P2KPPBP/R1BQ3R w kq - 2 9. Is the move g2f3 legal? Answer:,legal
Given chess position: r2qkbr1/pbp2p1p/3pp3/np1N2P1/PPP3n1/7P/1R1PP3/2BQKBNR b Kq - 0 11. What special moves are available? Answer:,castling
Given chess position: r1bqkbnr/pp1p3p/2n1pp2/1Bp5/6pP/P3P3/1PPP1PPR/RNBQK1N1 w Qkq - 0 7. What special moves are available? Answer:,castling
Given chess position: rnbBkbr1/pp3p2/3p4/4p1pp/2P1P2P/4n3/PP2BPP1/RNBQK1NR w KQq - 0 10. What special moves are available? Answer:,"castling, en passant"
Given chess position: rnb1kbnr/p1p1pp2/6pp/1p2p3/3q4/2NP1P2/PPP1P1PP/R1Q1KBNR w KQkq - 0 7. Is the move e1d2 legal? Answer:,legal
Given chess position: rnb1kbnr/ppppq2p/8/4ppp1/3PP1P1/2NB1Q1N/PPP2P1P/R1B1K2R w KQkq - 1 8. Is the move d4e5 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1b1k1nr/1pppbp1p/1Nn1pq2/p5P1/2P1P3/P4N2/RP1P2PP/2BQKB1R b Kkq - 0 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1b1kbnr/2p1npp1/4p3/pp1p2qp/QP5P/2P1P3/P2P1PP1/RNB1KBNR w KQkq - 3 12. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1b1kbnr/1p4p1/p2ppp1p/P1p5/qP1P2P1/1P2B3/3RPP1P/1N1QKBNR w Kkq - 1 12. Is the move b4b5 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn1qkb1r/p1ppp1p1/b6p/7n/2p2p1P/4P2N/PPQP1PP1/RNBK1B1R w q - 1 12. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnb1k2r/p1p1bp1p/1p5n/P2pp1p1/1PNPPqQ1/2R5/2PKNPPP/2B2B1R w kq - 1 15. What special moves are available? Answer:,castling
Given chess position: rnbqkbnr/2p1p1p1/pp5p/2PpN3/5p2/6P1/PPQPPP1P/RNB1KB1R b KQkq - 1 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1q1kb1r/ppp1pppp/2np1n2/7P/PB6/1b1P1NP1/RPP1PP2/1N1QKB1R b Kkq - 6 9. What special moves are available? Answer:,castling
Given chess position: r1b1k2r/n1pp1p1p/p4P1b/1p2p1p1/4K1PP/2P5/P2PP3/R1B1QBNR w kq - 2 16. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1kbnr/pp2ppp1/2p4p/3p2q1/7P/2N1P1P1/PPPP1P2/1RBQKBNR w Kkq - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2bBkbnr/rppp1p1p/p1n5/8/P2p2P1/3R4/1PP1PP1P/1N1QKBNR w Kk - 2 8. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb2b1r/pp1p1ppp/3k2q1/2p1pn2/1P3PP1/N4K2/P1PPP1BP/R1BQ2NR b - - 6 12. Is the move f8e7 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1qkbnr/p1p1p2p/4b1p1/1N1p1p2/1p2PP2/1P1P2P1/P1P4P/R1BQKBNR w KQkq - 1 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn3r2/1pqk1ppp/p1pbpP1n/3p2N1/6b1/2PPBN2/PP1QPKPP/R4BR1 b - - 8 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: rqb1kbnr/1p1n4/p2ppp1p/1PpN2p1/7P/P2PPP2/2P1B1PR/R1BQK1N1 b Qq - 2 13. Is the move h6h5 legal? Answer:,legal
Given chess position: rqb2bn1/pp1kpp1r/n7/2pp2pp/3P1BP1/PQP4B/RP2PP1P/1NK3NR w - - 0 15. Is the move f4e5 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbqk1r1/1p1p1p2/p1p2n2/2b1p2p/1P3Pp1/3P1NPB/P1P1P2P/R1BQKNR1 b Qq - 1 11. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
